Wall time,Step,Value
1680533634.5758266,3084,14.0
1680533641.8537312,3090,14.0
1680533649.0900633,3096,14.0
1680533652.7461748,3099,14.0
1680533657.6141324,3103,14.0
1680533658.8319647,3104,14.0
1680533660.0224407,3105,14.0
1680533662.3712564,3107,14.0
1680533667.1410258,3111,14.0
1680533670.7613244,3114,14.0
1680533671.9754987,3115,14.0
1680533676.803165,3119,14.0
1680533677.9768205,3120,14.0
1680533679.162387,3121,14.0
1680533685.1579847,3126,14.0
1680533687.5120757,3128,14.0
1680533699.4993494,3138,14.0
1680533707.9549584,3145,14.0
1680533716.3962512,3152,14.0
1680533719.9826877,3155,14.0
1680533741.5854213,3173,14.0
1680533747.6221676,3178,14.0
1680533758.5218709,3187,14.0
1680533762.154598,3190,14.0
1680533764.5560913,3192,14.0
1680533772.9468477,3199,14.0
1680533777.7755911,3203,14.0
1680533778.968837,3204,14.0
1680533788.6389906,3212,14.0
1680533793.469808,3216,14.0
1680533794.7397828,3217,14.0
1680533798.41204,3220,14.0
1680533800.893373,3222,14.0
1680533809.6397414,3229,14.0
1680533814.4134238,3233,14.0
1680533819.1310804,3237,14.0
1680533823.8806777,3241,14.0
1680533826.2823222,3243,14.0
1680533833.6068337,3249,14.0
1680533852.7136521,3265,14.0
1680533856.2932208,3268,14.0
1680533860.0092654,3271,14.0
1680533863.6209176,3274,14.0
1680533864.820322,3275,14.0
1680533870.8114707,3280,14.0
1680533887.7543955,3294,14.0
1680533891.3346996,3297,14.0
1680533892.5610278,3298,14.0
1680533902.1612406,3306,14.0
1680533911.7390363,3314,14.0
1680533927.351372,3327,14.0
1680533935.7908185,3334,14.0
1680533942.9959378,3340,14.0
1680533949.0774934,3345,14.0
1680533962.3450704,3356,14.0
1680533971.9288266,3364,14.0
1680533973.1531124,3365,14.0
1680533979.337761,3370,14.0
1680533981.81123,3372,14.0
1680533984.2788517,3374,14.0
1680533987.9899817,3377,14.0
1680533990.3948598,3379,14.0
1680533996.317992,3384,14.0
1680533997.493782,3385,14.0
1680534007.0469034,3393,14.0
1680534008.251548,3394,14.0
1680534011.8630593,3397,14.0
1680534020.2511501,3404,14.0
1680534023.813138,3407,14.0
1680534024.986995,3408,14.0
1680534026.212006,3409,14.0
1680534037.0772538,3418,14.0
1680534041.8542538,3422,14.0
1680534046.6771863,3426,14.0
1680534055.0531175,3433,14.0
1680534056.2670467,3434,14.0
1680534062.2996778,3439,14.0
1680534080.2362537,3454,14.0
1680534081.4075592,3455,14.0
1680534086.2400732,3459,14.0
1680534088.6307309,3461,14.0
1680534097.040096,3468,14.0
1680534101.8382027,3472,14.0
1680534112.7409265,3481,14.0
1680534113.9257245,3482,14.0
1680534115.1059904,3483,14.0
1680534116.2880664,3484,14.0
1680534117.4949725,3485,14.0
1680534122.2628849,3489,14.0
1680534124.6914587,3491,14.0
1680534127.1025543,3493,14.0
1680534130.7139635,3496,14.0
1680534134.2914677,3499,14.0
1680534138.602025,3500,16.0
1680534142.2825277,3503,16.0
1680534155.6258583,3514,16.0
1680534163.0263202,3520,16.0
1680534170.3063107,3526,16.0
1680534181.2912643,3535,16.0
1680534182.4961112,3536,16.0
1680534188.5516875,3541,16.0
1680534192.1403286,3544,16.0
1680534199.3168957,3550,16.0
1680534204.252722,3554,16.0
1680534209.077378,3558,16.0
1680534218.9562116,3566,16.0
1680534222.5602593,3569,16.0
1680534229.8485496,3575,16.0
1680534231.055258,3576,16.0
1680534240.8357995,3584,16.0
1680534244.4632573,3587,16.0
1680534245.7181194,3588,16.0
1680534249.4016433,3591,16.0
1680534260.412115,3600,16.0
1680534276.385915,3613,16.0
1680534277.6428316,3614,16.0
1680534278.8383818,3615,16.0
1680534280.049912,3616,16.0
